"","label","item_id_im","item_id_io","behavior_im","behavior_io","rt_M2SD_log_im","rt_M2SD_log_io","diff_M2SD_log","diff_sconsensus","diff_cconsensus","diff_label_score","diff_word_count","availability","valence","identity"
"11","homophob","homophob_2","klimaleugner_2","Nina sagt: „Von mir aus können sie in den eigenen vier Wänden ja machen, was sie wollen aber wenn ich mit meinen Kindern im Park bin will ich nicht sehen, wie sich zwei Männer gegenseitig die Zunge in den Hals stecken.”","Ralf sagt: „Es hat in der Geschichte der Erde immer wärmere und kältere Phasen gegeben. Aber deswegen müssen wir jetzt nicht gleich den Teufel an die Wand malen.”",-0.206384022972729,-0.316125867698765,0.109741844726037,0.412,0.031,-0.23,13,3.01226993865031,1.3680981595092,1.17791411042945
"12","liberal","liberal_1","homophob_2","Simone sagt: „Unsere Gesellschaft ist viel zu bürokratisch. Ich bin für einen schlankeren Staat und mehr Eigenverantwortung.”","Nina sagt: „Von mir aus können sie in den eigenen vier Wänden ja machen, was sie wollen aber wenn ich mit meinen Kindern im Park bin will ich nicht sehen, wie sich zwei Männer gegenseitig die Zunge in den Hals stecken.”",-0.234670800027053,-0.286199560379765,0.0515287603527122,-0.3,-0.3,-0.4,-24,3.22699386503067,3.6319018404908,3.44171779141104
"13","Incel","incel_1","trumpist_1","Marvin sagt: „Wenn selbst völlig unattraktive Frauen nur muskelbepackten Models hinterherlaufen, ist doch klar, warum ich niemals eine Freundin haben werde.”","John trägt eine Kappe auf der „Make America Great Again” steht.",-0.300032666634968,-0.376195783133124,0.0761631164981563,-0.176,-0.176,-1.04,10,1.76687116564417,1.71779141104294,1.16564417177914
"14","Punk","punk_1","incel_1","Emil hat bunt gefärbte Haare und ist völlig in schwarz gekleidet. Auf seinem Pullover steht in großen Buchstaben ACAB.","Marvin sagt: „Wenn selbst völlig unattraktive Frauen nur muskelbepackten Models hinterherlaufen, ist doch klar, warum ich niemals eine Freundin haben werde.”",-0.156966262858872,-0.323256432943766,0.166290170084894,0.2,0.2,-0.02,-2,1.98773006134969,2.92024539877301,1.66871165644172
"15","Klimaleugner","klimaleugner_2","konservativ_1","Ralf sagt: „Es hat in der Geschichte der Erde immer wärmere und kältere Phasen gegeben. Aber deswegen müssen wir jetzt nicht gleich den Teufel an die Wand malen.”","Marion sagt: „In der guten alten Zeit konnten die Menschen noch normal sprechen. Was die Leute heute sprechen klingt überhaupt nicht mehr wie Deutsch mit den ganzen Gender-Gaps und Anglizismen.”",-0.190961495414272,-0.251461601401931,0.0605001059876586,-0.341,0.04,0.76,-3,2.88343558282209,1.36196319018405,1.11656441717791
"16","Kommunistin","kommunist_1","querdenker_2","Maike sagt: „Der Finzanzkapitalismus hat als System ausgedient und muss endlich umgestoßen werden.”","Susanna sagt: „Wir leben in einer Gesundheitsdiktatur! Seit über einem Jahr sind uns unsere Grundrechte genommen!”",-0.210386994142329,-0.283744652557076,0.0733576584147469,-0.25,-0.15,0.26,-3,2.3680981595092,2.71779141104294,1.87116564417178
"17","Verschwörungstheoretikerin","verschwoerungstheoretiker_1","kommunist_1","Sina sagt: „Ich glaube schon, dass uns zu 9/11 nicht die ganze Geschichte erzählt wurde. Der Terroranschlag war auf jeden Fall im Interesse der amerikanischen Regierung.”","Maike sagt: „Der Finzanzkapitalismus hat als System ausgedient und muss endlich umgestoßen werden.”",-0.143539191031761,-0.20512562249635,0.0615864314645888,0.25,0.2,-0.12,12,3.16564417177914,1.63803680981595,1.25153374233129
"18","Rassistin","rassist_7","liberal_1","Barbara sagt: „Ich hoffe die neue Kollegin ist endlich mal wieder eine Deutsche.”","Simone sagt: „Unsere Gesellschaft ist viel zu bürokratisch. Ich bin für einen schlankeren Staat und mehr Eigenverantwortung.”",-0.290136991630547,-0.298991516746711,0.00885452511616347,0.317,0.317,-0.02,-4,3.32515337423313,1.20245398773006,1.12269938650307
"19","Nazi","nazi_4","links_4","Heike sagt: „Man wird ja wohl auch nochmal sagen dürfen, dass im dritten Reich nicht alles schlecht war.”","Katharina war heute auf einer Demonstration gegen Auslandseinsätze der Bundeswehr.",-0.268991063924216,-0.353318927144907,0.0843278632206906,-0.05,-0.05,0.16,8,3,1.12269938650307,1.07975460122699
"20","Pazifist","pazifist_1","sexist_3","Nico sagt: „Die EU sollte entmilitarisiert werden. Wenn wir keine Waffen haben, dann werden auch andere Nationen abrüsten und es ist Schluss mit sinnlosen Kriegen.”","Als sich Janniks Freundin nicht traut vom Drei-Meter-Brett zu springen, sagt er ihr, sie solle mal keine Pussy sein.",-0.232619950212504,-0.297618576027202,0.0649986258146978,-0.114,-0.369,0.9,4,2.36196319018405,3.59509202453988,3.15337423312883
"21","religiös","religioes_2","punk_1","Claudia war zwar wahnsinnig erschöpft vom langen Tag, aber nahm sich vorm Schlafengehen trotzdem noch zehn Minuten Zeit, um zu beten.","Emil hat bunt gefärbte Haare und ist völlig in schwarz gekleidet. Auf seinem Pullover steht in großen Buchstaben ACAB.",-0.140651405961593,-0.314713549923912,0.174062143962318,0.111,0.389,1.24,2,3.1840490797546,2.67484662576687,1.70552147239264
"22","Trumpist","trumpist_1","religioes_2","John trägt eine Kappe auf der „Make America Great Again” steht.","Claudia war zwar wahnsinnig erschöpft vom langen Tag, aber nahm sich vorm Schlafengehen trotzdem noch zehn Minuten Zeit, um zu beten.",-0.265518598253603,-0.346702900845729,0.0811843025921254,-0.135,-0.413,-0.18,-10,1.83435582822086,1.41717791411043,1.10429447852761
"23","transphob","transphob_1","veganer_1","Natalie sagt: „Trans-Frauen sollten keine Frauentoiletten benutzen dürfen. Frauen brauchen Orte, an denen sie vor männlichen Übergriffen sicher sind und nicht jeder verkleidete Mann hineinspazieren darf.”","Larissa fragt die Kellnerin im Restaurant, ob der gemischte Salat irgendwelche tierischen Produkte enthält.",-0.13877655468203,-0.340313993190057,0.201537438508027,-0.505,-0.552,-0.31,13,2.48466257668712,1.4601226993865,1.19631901840491
"24","Veganerin","veganer_1","transphob_1","Larissa fragt die Kellnerin im Restaurant, ob der gemischte Salat irgendwelche tierischen Produkte enthält.","Natalie sagt: „Trans-Frauen sollten keine Frauentoiletten benutzen dürfen. Frauen brauchen Orte, an denen sie vor männlichen Übergriffen sicher sind und nicht jeder verkleidete Mann hineinspazieren darf.”",-0.158357688101224,-0.305994857458246,0.147637169357022,0.505,0.552,0.31,-13,3.67484662576687,3.69325153374233,2.49693251533742
